id,label,icd_code,mesh_code
DOID:0050495,exanthema subitum,B08.2,D005077
DOID:0050523,adult T-cell leukemia/lymphoma,C91.5,D015459
DOID:0050524,maturity-onset diabetes of the young,E11.8,
DOID:0050529,adult spinal muscular atrophy,G12.1,C563948
DOID:0050530,intermediate spinal muscular atrophy,,D014897
DOID:0050534,congenital stationary night blindness,H53.63,C537743
DOID:0050535,exudative vitreoretinopathy,H35.00,
DOID:0050544,hypermethioninemia,,C564683
DOID:0050547,familial medullary thyroid carcinoma,,C536911
DOID:0050548,hereditary sensory neuropathy,,D009477
DOID:0050560,Walker-Warburg syndrome,,D058494
DOID:0050561,Lennox-Gastaut syndrome,,D065768
DOID:0050562,West syndrome,,D013036
DOID:0050563,nonsyndromic deafness,,C580334
DOID:0050564,autosomal dominant nonsyndromic deafness,H90.3,
DOID:0050565,autosomal recessive nonsyndromic deafness,H90.3,
DOID:0050566,X-linked nonsyndromic deafness,H90.3,
DOID:0050569,Seckel syndrome,Q87.1,
DOID:0050571,congenital disorder of glycosylation type II,,C535747
DOID:0050572,cone-rod dystrophy,H35.5,
DOID:0050573,2-hydroxyglutaric aciduria,,C535306
DOID:0050576,Senior-Loken syndrome,Q61.5,C537580
DOID:0050577,cranioectodermal dysplasia,,C562966
DOID:0050581,brachydactyly,,D059327
DOID:0050587,trichotillomania,,D014256
DOID:0050589,inflammatory bowel disease,,D015212
DOID:0050590,severe congenital neutropenia,D70,
DOID:0050591,tooth agenesis,K00.0,D000848
DOID:0050592,asphyxiating thoracic dystrophy,Q77.2,
DOID:0050596,taeniasis,B68.1,
DOID:0050597,intestinal schistosomiasis,B65.1,D012554
DOID:0050597,intestinal schistosomiasis,B65.1,D012555
DOID:0050597,intestinal schistosomiasis,B65.2,D012554
DOID:0050597,intestinal schistosomiasis,B65.2,D012555
DOID:0050600,ABCD syndrome,,C535334
DOID:0050604,acrocapitofemoral dysplasia,,C564334
DOID:0050605,acrodermatitis enteropathica,,C538178
DOID:0050619,paranasal sinus cancer,,D010255
DOID:0050629,Aicardi-Goutieres syndrome,G31.8,
DOID:0050630,Aland Island eye disease,,C562664
DOID:0050631,Allan-Herndon-Dudley syndrome,,C537047
DOID:0050632,oculocutaneous albinism,E70.3,D016115
DOID:0050633,ocular albinism 1,,D016117
DOID:0050634,alopecia universalis,,C537055
DOID:0050635,alternating hemiplegia of childhood,G98,C536589
DOID:0050638,transthyretin amyloidosis,E85.82,
DOID:0050641,Rh deficiency syndrome,,C562717
DOID:0050644,arterial calcification of infancy,,C537440
DOID:0050645,arterial tortuosity syndrome,,C565942
DOID:0050647,Arts syndrome,,C535388
DOID:0050651,atrioventricular septal defect,Q21.2,D004694
DOID:0050654,Baller-Gerold syndrome,,C536788
DOID:0050657,Bannayan-Riley-Ruvalcaba syndrome,Q87.89,D006223
DOID:0050659,biotin-responsive basal ganglia disease,,C537658
DOID:0050661,vitelliform macular dystrophy,H35.5,D057826
DOID:0050662,bestrophinopathy,,C567518
DOID:0050663,Bethlem myopathy,,C535436
DOID:0050665,fetal alcohol syndrome,Q86.0,
DOID:0050674,congenital bile acid synthesis defect,K76.8,
DOID:0050675,Birk-Barel syndrome,,C567357
DOID:0050676,Birt-Hogg-Dube syndrome,,D058249
DOID:0050677,Bjornstad syndrome,,C537633
DOID:0050678,Blau syndrome,,C538157
DOID:0050680,Boomerang dysplasia,,C536573
DOID:0050681,Borjeson-Forssman-Lehmann syndrome,,C536575
DOID:0050683,Bothnia retinal dystrophy,,C564392
DOID:0050684,Bowen-Conradi syndrome,,C537081
DOID:0050686,organ system cancer,,D009371
DOID:0050689,brachydactyly-syndactyly syndrome,,C565193
DOID:0050690,brachyolmia,,C537098
DOID:0050692,Brody myopathy,,C536607
DOID:0050694,Brown-Vialetto-Van Laere syndrome,,C537111
DOID:0050697,chorioamnionitis,,D002821
DOID:0050699,Dent disease,,D057973
DOID:0050700,cardiomyopathy,I42,D009202
DOID:0050722,PHGDH deficiency,,C566618
DOID:0050731,vitamin B12 deficiency,,D014806
DOID:0050740,Qazi Markouizos syndrome,,C536259
DOID:0050742,nicotine dependence,F17,D014029
DOID:0050745,diffuse large B-cell lymphoma,,D016403
DOID:0050746,mantle cell lymphoma,,D020522
DOID:0050748,marginal zone lymphoma,,D018442
DOID:0050753,cerebellar ataxia,,D002524
DOID:0050757,deafness-dystonia-optic neuronopathy syndrome,,C535808
DOID:0050759,myotonic dystrophy type 2,G71.1,D020967
DOID:0050764,Armfield syndrome,Q87.8,
DOID:0050765,neuroacanthocytosis,,D054546
DOID:0050766,choreaacanthocytosis,,D054546
DOID:0050769,N syndrome,,C536108
DOID:0050770,polycystic liver disease,,C536330
DOID:0050771,pheochromocytoma,,D010673
DOID:0050773,paraganglioma,,D010235
DOID:0050774,rapadilino syndrome,,C535288
DOID:0050775,schneckenbecken dysplasia,,C536637
DOID:0050777,Joubert syndrome,Q04.3,
DOID:0050779,hydrolethalus syndrome,Q87.8,C536079
DOID:0050782,Zollinger-Ellison syndrome,E16.4,D015043
DOID:0050783,secondary progressive multiple sclerosis,,D020528
DOID:0050784,primary progressive multiple sclerosis,,D020528
DOID:0050785,progressive relapsing multiple sclerosis,,D020528
DOID:0050787,juvenile polyposis syndrome,,C537702
DOID:0050790,fibular hypoplasia and complex brachydactyly,,C537931
DOID:0050791,persistent Mullerian duct syndrome,,C536665
DOID:0050792,multiple cutaneous and mucosal venous malformations,,C563977
DOID:0050795,cone dystrophy,,D000077765
DOID:0050796,achalasia microcephaly syndrome,,C536010
DOID:0050797,peroxisomal acyl-CoA oxidase deficiency,,C536662
DOID:0050799,guanidinoacetate methyltransferase deficiency,,C537622
DOID:0050807,Kahrizi syndrome,,C567196
DOID:0050810,biotin deficiency,,C531633
DOID:0050811,congenital adrenal hyperplasia,E25,
DOID:0050812,"spondyloepimetaphyseal dysplasia, Pakistani type",,C567551
DOID:0050814,temtamy preaxial brachydactyly syndrome,,C536958
DOID:0050816,urofacial syndrome,,C536480
DOID:0050817,Stargardt disease,,D000080362
DOID:0050820,atrioventricular block,I44.3,D054537
DOID:0050826,tricuspid valve disease,I07,
DOID:0050827,rheumatic heart disease,,D012214
DOID:0050830,peripheral artery disease,,D058729
DOID:0050831,familial encephalopathy with neuroserpin inclusion bodies,,C536841
DOID:0050834,CHARGE syndrome,,D058747
DOID:0050835,generalized dystonia,G24.1,D004422
DOID:0050835,generalized dystonia,G24.1,D020821
DOID:0050835,generalized dystonia,G24.2,D004422
DOID:0050835,generalized dystonia,G24.2,D020821
DOID:0050847,sleep apnea,G47.3,D012891
DOID:0050848,obstructive sleep apnea,G47.33,D020181
DOID:0050854,Muckle-Wells syndrome,M04.2,D056587
DOID:0050858,Marshall-Smith syndrome,,C536026
DOID:0050871,fibroma,,D005350
DOID:0050873,follicular lymphoma,,D008224
DOID:0050876,Caroli disease,,D016767
DOID:0050881,inclusion body myopathy with Paget disease of bone and frontotemporal dementia,,C563476
DOID:0050884,triosephosphate isomerase deficiency,,C566029
DOID:0050886,Troyer syndrome,G11.4,
DOID:0050887,Townes-Brocks syndrome,,C536974
DOID:0050894,ameloblastoma,,D000564
DOID:0050902,medulloblastoma,,D008527
DOID:0050902,medulloblastoma,,D018242
DOID:0050908,myelodysplastic syndrome,,D009190
DOID:0050946,Charlevoix-Saguenay spastic ataxia,,C536787
DOID:0050952,spastic ataxia,,C564815
DOID:0050957,spinocerebellar ataxia type 4,,D020754
DOID:0050974,spinocerebellar ataxia type 25,,C537202
DOID:0050975,spinocerebellar ataxia type 26,,C537203
DOID:0050990,episodic ataxia type 2,,C535506
DOID:0050997,"cerebellar ataxia, impaired intellectual development, and dysequilibrium syndrome",,C535731
DOID:0060010,Omenn syndrome,D81.8,
DOID:0060013,X-linked severe combined immunodeficiency,,D053632
DOID:0060020,reticular dysgenesis,,C538361
DOID:0060025,immunoglobulin alpha deficiency,,D017098
DOID:0060041,autism spectrum disorder,,D000067877
DOID:0060046,aphasia,,D001037
DOID:0060055,popliteal pterygium syndrome,,C562509
DOID:0060058,lymphoma,C85.9,D008223
DOID:0060060,non-Hodgkin lymphoma,C85.9,D008228
DOID:0060061,primary cutaneous T-cell non-Hodgkin lymphoma,,D016410
DOID:0060068,nonbacterial thrombotic endocarditis,,D059905
DOID:0060098,osteoblastoma,,D018215
DOID:0060119,pharynx cancer,,D010610
DOID:0060123,connective tissue benign neoplasm,,D012983
DOID:0060125,heavy chain disease,C88.2,D006362
DOID:0060135,apraxia,R48.2,D001072
DOID:0060155,visual agnosia,,C531604
DOID:0060160,childhood spinal muscular atrophy,,D014897
DOID:0060161,Kennedy's disease,,D055534
DOID:0060162,dentatorubral-pallidoluysian atrophy,,D020191
DOID:0060165,Kleine-Levin syndrome,,D017593
DOID:0060167,seasonal affective disorder,,D016574
DOID:0060168,histidinemia,,C538320
DOID:0060170,generalized epilepsy with febrile seizures plus,G40.3,C565808
DOID:0060173,Timothy syndrome,G72.3,C536962
DOID:0060175,succinic semialdehyde dehydrogenase deficiency,,C535803
DOID:0060177,homocarnosinosis,,C535328
DOID:0060178,familial hemiplegic migraine,G43.8,
DOID:0060179,Renpenning syndrome,Q87.5,
DOID:0060180,colitis,K52.9,D003092
DOID:0060181,ischemic colitis,K55.9,D017091
DOID:0060182,microscopic colitis,K52.83,D046728
DOID:0060183,collagenous colitis,K52.831,D046729
DOID:0060184,lymphocytic colitis,K52.832,D046730
DOID:0060185,Clostridium difficile colitis,A04.7,D004761
DOID:0060186,chemical colitis,K52,
DOID:0060187,diversion colitis,K52,
DOID:0060188,jejunoileitis,K50.0,
DOID:0060189,ileitis,K52.9,D007079
DOID:0060190,ileocolitis,K52.9,
DOID:0060191,gastroduodenal Crohn's disease,K50.0,
DOID:0060192,Crohn's colitis,K50.1,D003424
DOID:0060193,amyotrophic lateral sclerosis type 1,G12.2,
DOID:0060194,amyotrophic lateral sclerosis type 2,G12.2,
DOID:0060196,amyotrophic lateral sclerosis type 4,G12.2,
DOID:0060215,Balo concentric sclerosis,G37.0,D002549
DOID:0060216,Cogan syndrome,H16.32,D055952
DOID:0060218,CREST syndrome,M34.1,D017675
DOID:0060221,Maffucci syndrome,Q78.4,
DOID:0060222,Scheie syndrome,E76.0,
DOID:0060223,agraphia,R48.8,D000381
DOID:0060224,atrial fibrillation,,D001281
DOID:0060225,3MC syndrome,Q87.8,
DOID:0060226,acrofrontofacionasal dysostosis,,C538186
DOID:0060230,basal ganglia calcification,,C536275
DOID:0060231,Bruck syndrome,M21.8,
DOID:0060232,branchiootic syndrome,Q87.0,C537104
DOID:0060233,cardiofaciocutaneous syndrome,Q87.8,C535579
DOID:0060234,Carpenter syndrome,,C563187
DOID:0060235,carnitine palmitoyltransferase II deficiency,,C535589
DOID:0060236,xanthinuria,E79.8,
DOID:0060237,Warburg micro syndrome,,C536681
DOID:0060238,Van Maldergem syndrome,,C536530
DOID:0060239,Van der Woude syndrome,Q38.0,C536528
DOID:0060239,Van der Woude syndrome,Q38.0,C563529
DOID:0060240,UV-sensitive syndrome,,C563466
DOID:0060241,3-M syndrome,,C535314
DOID:0060242,synpolydactyly,,C538153
DOID:0060243,stuttering,F80.81,D013342
DOID:0060245,Mast syndrome,G11.4,C565409
DOID:0060246,MASA syndrome,,C536029
DOID:0060247,Smith-McCort dysplasia,,C564589
DOID:0060248,Simpson-Golabi-Behmel syndrome type 1,,C537340
DOID:0060249,scoliosis,M41.9,D012600
DOID:0060251,sclerosteosis,,C537525
DOID:0060252,sclerocornea,,C565209
DOID:0060253,scapuloperoneal myopathy,,C536624
DOID:0060254,Robinow syndrome,Q87.19,C562492
DOID:0060256,Dowling-Degos disease,,C562924
DOID:0060257,dyschromatosis symmetrica hereditaria,,C535729
DOID:0060259,renal-hepatic-pancreatic dysplasia,,C567142
DOID:0060260,ptosis,H02.4,D001763
DOID:0060261,congenital ptosis,Q10.0,
DOID:0060262,gallbladder disease,K82.9,D005705
DOID:0060263,porencephaly,Q04.6,D065708
DOID:0060264,pontocerebellar hypoplasia,,C580383
DOID:0060267,pontocerebellar hypoplasia type 2A,,C564738
DOID:0060268,pontocerebellar hypoplasia type 2B,,C567325
DOID:0060269,pontocerebellar hypoplasia type 2C,,C567324
DOID:0060270,pontocerebellar hypoplasia type 2D,Q04.3,
DOID:0060272,pontocerebellar hypoplasia type 3,,C548072
DOID:0060273,pontocerebellar hypoplasia type 4,,C536716
DOID:0060274,pontocerebellar hypoplasia type 5,,C537745
DOID:0060275,pontocerebellar hypoplasia type 6,,C548074
DOID:0060276,pontocerebellar hypoplasia type 7,Q04.3,
DOID:0060277,pontocerebellar hypoplasia type 8,Q04.3,
DOID:0060278,pontocerebellar hypoplasia type 9,Q04.3,
DOID:0060281,photosensitive epilepsy,G40.8,
DOID:0060282,persistent hyperplastic primary vitreous,,D054514
DOID:0060283,peeling skin syndrome,,C564818
DOID:0060284,paroxysmal nocturnal hemoglobinuria,D59.5,D006457
DOID:0060284,paroxysmal nocturnal hemoglobinuria,D59.6,D006457
DOID:0060285,parietal foramina,,C566826
DOID:0060287,cornea plana,Q13.4,
DOID:0060289,Ohdo syndrome,,C536232
DOID:0060290,"Ohdo syndrome,  SBBYS variant",,C536717
DOID:0060291,oculodentodigital dysplasia,,C563160
DOID:0060292,X-linked chondrodysplasia punctata 1,Q77.3,C580533
DOID:0060293,autosomal dominant chondrodysplasia punctata,Q77.3,
DOID:0060294,cold-induced sweating syndrome,,C536214
DOID:0060295,complement component 2 deficiency,D84.1,
DOID:0060296,congenital secretory chloride diarrhea 1,,C536210
DOID:0060297,complement component 4a deficiency,D84.1,C565167
DOID:0060298,complement component 4b deficiency,D84.1,
DOID:0060299,complement component 6 deficiency,D84.1,C567307
DOID:0060300,complement component 7 deficiency,D84.1,C566443
DOID:0060301,type I complement component 8 deficiency,D84.1,
DOID:0060302,type II complement component 8 deficiency,D84.1,
DOID:0060303,complement component 9 deficiency,D84.1,
DOID:0060304,dyschromatosis universalis hereditaria,,C535730
DOID:0060306,Meier-Gorlin syndrome,,C538012
DOID:0060310,uvulitis,K12.2,
DOID:0060311,adenoid hypertrophy,J35.2,
DOID:0060312,angular cheilitis,K13.0,
DOID:0060313,tracheomalacia,Q32.0,C557675
DOID:0060315,oral hairy leukoplakia,K13.3,D017733
DOID:0060316,orofaciodigital syndrome I,Q87.0,D009958
DOID:0060317,lung abscess,J85.2,D008169
DOID:0060318,acute promyelocytic leukemia,C92.4,D015473
DOID:0060319,cardiac arrest,I46,D006323
DOID:0060320,inguinal hernia,K40,D006552
DOID:0060321,umbilical hernia,Q79.2,D006554
DOID:0060322,mastoiditis,H70.9,D008417
DOID:0060324,dental abscess,K04.6,
DOID:0060325,cervical polyp,D26.9,
DOID:0060326,myelomeningocele,Q05,D008591
DOID:0060327,omphalocele,Q79.2,D006554
DOID:0060328,anal fistula,K60.3,D012003
DOID:0060329,ectopic pregnancy,O00,D011271
DOID:0060330,Rapp-Hodgkin syndrome,,C535289
DOID:0060334,transient neonatal diabetes mellitus,P70.2,
DOID:0060336,3-methylglutaconic aciduria,E71.111,C579867
DOID:0060337,CEDNIK syndrome,,C537943
DOID:0060341,agnathia-otocephaly complex,Q18.2,C562503
DOID:0060342,acromelic frontonasal dysostosis,,C566345
DOID:0060345,bacillary angiomatosis,,D016917
DOID:0060346,Native American myopathy,,C538343
DOID:0060347,acrorenal syndrome,,C563159
DOID:0060348,hypoparathyroidism-retardation-dysmorphism syndrome,,C537157
DOID:0060349,"microcephaly with or without chorioretinopathy, lymphedema, or mental retardation",,C537711
DOID:0060350,adenine phosphoribosyltransferase deficiency,,C538228
DOID:0060352,Kleefstra syndrome 1,,C563043
DOID:0060354,Stormorken syndrome,,C566108
DOID:0060356,Vici syndrome,,C535566
DOID:0060357,chylomicron retention disease,E78.3,C535460
DOID:0060358,multiple acyl-CoA dehydrogenase deficiency,E71.313,D054069
DOID:0060359,Sakati-Nyhan syndrome,Q87.0,C537227
DOID:0060360,hereditary papulotranslucent acrokeratoderma,,C566323
DOID:0060362,punctate palmoplantar keratoderma type III,,C535653
DOID:0060366,Hennekam syndrome,,C537255
DOID:0060373,orofaciodigital syndrome III,,C557817
DOID:0060374,orofaciodigital syndrome IV,,C537133
DOID:0060375,orofaciodigital syndrome V,,C557819
DOID:0060376,Joubert syndrome with orofaciodigital defect,,C536531
DOID:0060377,orofaciodigital syndrome VII,,C563104
DOID:0060378,orofaciodigital syndrome VIII,,C557820
DOID:0060380,orofaciodigital syndrome X,Q87.0,C563491
DOID:0060381,orofaciodigital syndrome XI,,C557821
DOID:0060382,orofaciodigital syndrome IX,,C557818
DOID:0060383,acrofacial dysostosis Rodriguez type,,C538183
DOID:0060384,"acrofacial dysostosis, Catania type",,C538182
DOID:0060385,"acrofacial dysostosis, Patagonia type",,C538185
DOID:0060386,Chilblain lupus,,C535924
DOID:0060387,chondrodysplasia Blomstrand type,,C537914
DOID:0060389,chromosome 10q23 deletion syndrome,,C567385
DOID:0060390,distal 10q deletion syndrome,Q93.5,C567182
DOID:0060391,chromosome 13q14 deletion syndrome,Q93.5,
DOID:0060394,chromosome 15q13.3 microdeletion syndrome,Q93.5,C567439
DOID:0060395,chromosome 15q24 deletion syndrome,Q93.5,C579849
DOID:0060397,chromosome 15q26-qter deletion syndrome,Q93.5,C567232
DOID:0060400,chromosome 16p12.2-p11.2 deletion syndrome,Q93.5,
DOID:0060402,chromosome 17p13.1 deletion syndrome,,D054221
DOID:0060403,chromosome 17q11.2 deletion syndrome,Q85.0,C563524
DOID:0060404,chromosome 17q12 deletion syndrome,Q93.5,
DOID:0060405,chromosome 17q23.1-q23.2 deletion syndrome,Q93.5,
DOID:0060406,chromosome 18p deletion syndrome,,C538309
DOID:0060407,chromosome 18q deletion syndrome,Q93.5,C536580
DOID:0060408,chromosome 19q13.11 deletion syndrome,,C567810
DOID:0060409,NFIA-related disorder,Q93.5,C535594
DOID:0060410,chromosome 1p36 deletion syndrome,,C535362
DOID:0060411,chromosome 1q21.1 deletion syndrome,Q93.5,
DOID:0060412,chromosome 1q41-q42 deletion syndrome,Q93.5,
DOID:0060413,"chromosome 22q11.2 deletion syndrome, distal",,C567511
DOID:0060415,chromosome 2p16.1-p15 deletion syndrome,Q93.5,C567289
DOID:0060416,chromosome 2q31.2 deletion syndrome,,C567344
DOID:0060417,3p deletion syndrome,Q93.5,
DOID:0060418,chromosome 3q13.31 deletion syndrome,,C536808
DOID:0060419,chromosome 3q29 microdeletion syndrome,,C567184
DOID:0060422,chromosome 6pter-p24 deletion syndrome,Q93.5,C567239
DOID:0060425,chromosome 8q21.11 deletion syndrome,Q93.5,
DOID:0060427,chromosome Xp21 deletion syndrome,Q99.8,
DOID:0060428,SATB2-associated syndrome,Q93.5,C567350
DOID:0060430,chromosome 16p11.2 duplication syndrome,Q92.3,
DOID:0060431,chromosome 16p13.3 duplication syndrome,Q92.3,
DOID:0060432,chromosome 17p13.3 duplication syndrome,Q92.3,C567705
DOID:0060433,chromosome 17q12 duplication syndrome,Q92.3,
DOID:0060434,chromosome 17q21.31 duplication syndrome,Q92.3,
DOID:0060435,chromosome 1q21.1 duplication syndrome,Q92.3,C567290
DOID:0060436,chromosome 22q11.2 microduplication syndrome,Q92.3,C567224
DOID:0060438,Cole-Carpenter syndrome,,C535963
DOID:0060439,lysinuric protein intolerance,,C562687
DOID:0060444,granular corneal dystrophy 2,,C535474
DOID:0060445,congenital stromal corneal dystrophy,H18.5,C566452
DOID:0060446,X-linked endothelial corneal dystrophy,H18.5,C567587
DOID:0060447,epithelial basement membrane dystrophy,H18.5,C535477
DOID:0060448,Fleck corneal dystrophy,,C563256
DOID:0060449,gelatinous drop-like corneal dystrophy,,C535480
DOID:0060450,Lisch epithelial corneal dystrophy,H18.5,C567588
DOID:0060451,Meesmann corneal dystrophy,H18.52,D053559
DOID:0060452,posterior amorphous corneal dystrophy,H18.5,C567546
DOID:0060453,Reis-Bucklers corneal dystrophy,,C535476
DOID:0060454,subepithelial mucinous corneal dystrophy,H18.5,C567547
DOID:0060455,Thiel-Behnke corneal dystrophy,,C535942
DOID:0060456,Schnyder corneal dystrophy,,C535475
DOID:0060457,posterior polymorphous corneal dystrophy,H18.5,C562745
DOID:0060459,chromosome 3q29 microduplication syndrome,Q92.3,C567626
DOID:0060460,chromosome 5p13 duplication syndrome,Q92.3,C567717
DOID:0060461,chromosome Xp11.23-p11.22 duplication syndrome,Q99.8,C567585
DOID:0060462,Desbuquois dysplasia,,C535943
DOID:0060464,Feingold syndrome,Q87.8,C537734
DOID:0060465,fibrochondrogenesis,,C562524
DOID:0060466,gingival fibromatosis,,C562884
DOID:0060467,humeroradial synostosis,,C535284
DOID:0060468,Holt-Oram syndrome,Q87.2,C535326
DOID:0060469,Miller-Dieker lissencephaly syndrome,Q93.88,D054221
DOID:0060471,fetal valproate syndrome,,C536525
DOID:0060472,Kindler syndrome,,C536321
DOID:0060473,Kabuki syndrome,,C537705
DOID:0060474,familial erythrocytosis 2,D75.1,
DOID:0060476,Perlman syndrome,Q87.3,C536399
DOID:0060478,Zika fever,A92.8,D000071243
DOID:0060479,Shwachman-Diamond syndrome,D61.0,C537330
DOID:0060481,Goldberg-Shprintzen syndrome,,C537279
DOID:0060482,oculoauricular syndrome,Q87.8,C567416
DOID:0060484,EAST syndrome,,C557674
DOID:0060485,Mowat-Wilson syndrome,,C536990
DOID:0060486,Perry syndrome,,C566822
DOID:0060488,Pitt-Hopkins syndrome,,C537403
DOID:0060490,Schimke immuno-osseous dysplasia,,C536629
DOID:0060491,SPOAN syndrome,G11.4,C563702
DOID:0060536,mitochondrial complex I deficiency,,C537475
DOID:0060537,mitochondrial complex II deficiency,G71.3,C565375
DOID:0060538,purpura fulminans,D65,D055665
DOID:0060540,Hermansky-Pudlak syndrome 2,,C537709
DOID:0060549,Barber-Say syndrome,,C537908
DOID:0060550,ablepharon macrostomia syndrome,,C535557
DOID:0060551,poikiloderma with neutropenia,D82.8,C565820
DOID:0060556,Kufor-Rakeb syndrome,,C537177
DOID:0060558,lethal congenital contracture syndrome,Q68.8,
DOID:0060559,lethal congenital contracture syndrome 1,,C537194
DOID:0060560,lethal congenital contracture syndrome 2,,C564369
DOID:0060562,anomalous left coronary artery from the pulmonary artery,,D063748
DOID:0060563,Char syndrome,,C566815
DOID:0060565,Ritscher-Schinzel syndrome,,C535313
DOID:0060566,Holzgreve-Wagner-Rehder Syndrome,,C535327
DOID:0060567,erythema elevatum diutinum,L95.1,C535509
DOID:0060569,hypertrichotic osteochondrodysplasia Cantu type,,C535572
DOID:0060570,cardiac tuberculosis,,D014381
DOID:0060573,von Willebrand's disease 1,D68.01,D056725
DOID:0060574,von Willebrand's disease 2,D68.02,D056728
DOID:0060578,Noonan syndrome 1,Q87.1,
DOID:0060580,Noonan syndrome 2,Q87.1,C548081
