Model,Make (Organization)
Accu-Chek Guide Me,"Accu-Chek,Roche"
Accu-Chek Inform II,Roche
Accu-Chek Nano,Accu-Chek
Accu-Chek Spirit Combo,Accu-Chek
AccuGait Walkway,AMTI
Accugence Plus Multi-Monitoring System (PM-800),e-LinkCare
AccuMed CMS-50DL,AccuMed
Accupedo,Corusen
Accurate 24 BPM,Accurate Meditech
AccurECG,AccurKardia
AccuSom,BioSerenity
Ace,Fitbit
Ace 2,Fitbit
Ace 3,Fitbit
Achillex,Xybermind
AcneDect,University Hospital Basel
Acorai,Acorai
ACT10,Consultoria Eletrônica
Actibelt,Trium Analysis Online GmbH
Actical,Philips
ActiCAP,Brain Products
ActiGraph (Model Unspecified),ActiGraph
ActiHeart,CamNtech
Actiheart (Series Unspecified),CamNtech
Actiheart 4,CamNtech
Actiheart 5,CamNtech
ActionFit SN503,Philips
Actiscore,"Philips,Mini-Mitter (now Philips)"
ActiSleep,ActiGraph
ActiSleep+,ActiGraph
Actitrac,Individual Monitoring Systems
ActiTrainer,ActiGraph
Activ8 Activity Tracker,Remedy
Activator,PAL Technologies
Active Meter,"Accu-Chek,Roche"
Active Monitor,Polar
Active Style Pro HJA-350IT,Omron Healthcare
Active Style Pro HJA-750C,Omron Healthcare
Active Wearable for Assessment and Remote Evaluation (AWARE),Vivonics
Active10,National Health Service
ActivForce,Activbody
Activinsights Band,Activinsights
Activite Pop,Withings
Activite Steel Watch,Withings
Activité Watch,Withings
Activity Count Algorithm,ActiGraph
Activity/Sleep Tracker,Indie Health
activPAL,PAL Technologies
activPAL Micro,PAL Technologies
activPAL3,PAL Technologies
activPAL4,PAL Technologies
Actiwatch,"Philips,Mini-Mitter (now Philips)"
Actiwatch (Series Unspecified),Philips
Actiwatch 2,Philips
Actiwatch 4,Philips
Actiwatch 7 ,Philips
Actiwatch 16,Philips
Actiwatch 64,"Philips,Mini-Mitter (now Philips)"
Actiwatch Plus,Philips
Actiwatch Spectrum,Philips
Actiwatch Spectrum Plus,Philips
Actiwatch Spectrum Pro,Philips
Actiwatch-L,"Philips,Mini-Mitter (now Philips)"
Actiwatch-Score,Philips
Actiwave,CamNtech
Actiwave Cardio,CamNtech
Actiwave Motion,CamNtech
ActStudio,Condor Instruments
ActTrust (Model AT0503),Condor Instruments
ActTrust 2,Condor Instruments
Acumar Dual Inclinometer for Joint Measurement,Lafayette Instrument
Acumar Single Digital Inclinometer,Lafayette Instrument
AcuPebble RE100,Acurable
AcuPebble SA100,Acurable
AD629,Interacoustics
ADAM,"Sibel Health,Sonica Health "
Adam,Adam Health
Adamant Health,Adamant Health
ADAMM,Health Care Originals
ADF-B06,Andesfit
ADF-B19,Andesfit
ADF-B27,Andesfit
ADF-B28,Andesfit
ADF-B34A,Andesfit
ADF-B38A,Andesfit
ADF-B102W,Andesfit
ADF-B885T,Andesfit
Adhera Health Precision Digital Companion Platform,Adhera Health
ADI Study Watch App,Analog Devices
ADLcare,Algorithmic Intuition
AdMos,Archinisis
Advanced Vision Analyzer (AVA),Elisar
Adventurer MultiSport Watch,TomTom
AE120XL,Accusplit
Aemics IMU (Model Unspecified),Aemics
aeoNose Breath Analyzer,The eNose Company
Aeqora App,University of Sheffield
AeroTrak Handheld Particle Counter 9306,TSI Incorporated
AeroTrak Handheld Particle Counter Model 9303,TSI Incorporated
Aesthetics Bodystation II,FotoFinder
Aesthetics Face,FotoFinder
aethair IAQ,aethair (formerly airthinx)
AeviceMD,Aevice Health
AFE ECG,IMEC
Agamatrix Glucose Meter (Model Unspecified),Agamatrix
Agilitas II ,Bright Devices
Ahead 500,BrainScope
AI Dermatologist,AI Dermatologist
AI ECG,Carewell
AI Skin Assessment,Perfect Corp.
Aidee,Aidee
Aidia Smart Bottle,AdhereTech
Aidlab,Aidlab
Aidmed,Aidlab
AIM,Skulpt Inc.
Aimoto Senior,Aimoto Tech
Aina,Jana Care
AIO Smart Sleeve,Komodo Technologies
AioCare,AioCare
Air,Bitbrain
Air,Fitbug
Air Next,NuvoAir
Air Pulse Oximeter (PO3),iHealth
Air Quality Egg,Wicked Device
Airbeam,Habitat Map
AirBow AI-1001W V2,Edimax
AirDuo Digihaler,Teva Pharmaceuticals
AIRE 2 Digestive Tracker,FoodMarble
AIRE Digestive Tracker,FoodMarble
AirGo,My Air Go
Airly PM ,Airly
Airnote,Blues
Airscan,Iknaia
AirSense 10,ResMed
AirSense 11,ResMed
AirSmart,NuvoAir
AirVisual Pro Indoor,IQAir
AjnaXR,AjnaLens
Aktiia,Aktiia
Aktos,Myon
Albus Home Monitor,Albus Health
Alert,PneumoWave
Alert App,Empatica
Alexa,Amazon
ALGOS System,PainQx
Alice Night-One,Philips
Alice PDx,Philips
Align Glucose Meter (BG1) ,iHealth
AlignProCARE,CoNova Medical Technology
Alive Heart and Activity Monitor,Alive Technologies
AliveCor ECG (Model Unspecified),AliveCor
Allergy Amulet,Amulet 
AlleyeOne App,Oculocare Medical
ALLFTD Mobile App,Datacubed Health
Allurion Health Tracker Watch,Allurion Technologies (formerly Elipse)
Alpha,"PAI Health,Mio Global (now PAI Health)"
Alpha 2,"PAI Health,Mio Global (now PAI Health)"
Alpha 53P Heart Rate Monitor,"PAI Health,Mio Global (now PAI Health)"
AlphaPose,Shanghai Jiao Tong University
Alta,Fitbit
Alta HR,Fitbit
Alto Neuroscience Platform,Alto Neuroscience
Altoida,Altoida
Aluna Spirometer,Aluna
Alva Wristband,Alva Health
Alvita (HJ-323U),Omron Healthcare
Alvita (HJ-324U),Omron Healthcare
Alvita (HJ-327T),Omron Healthcare
Alvita Optimized Pedometer (HJ-321),Omron Healthcare
Alvita Pedometer (HJ-320),Omron Healthcare
Alvita Ultimate (HJ-325),Omron Healthcare
"Always, BP",Deepmedi
Am I stoned? App,The University of Chicago Medicine
AM1,ERT Health (now Clario)
AM101,PAM
AM140,Tanita
AM300,PAM
AM801,Medlinket
Amalgam Rx Platform,Amalgam Rx
Amazfit,"Zepp Health,Huami (now Zepp Health)"
Amazfit Bip,Zepp Health
Amazfit Bip 3 Pro,Zepp Health
Amazfit Cor,Zepp Health
Amazfit GTR 2e,Zepp Health
Amazfit GTR 3 Pro,Zepp Health
Amazfit GTS,Zepp Health
Amazfit GTS 4 mini,Zepp Health
Amazfit Powerbuds,Zepp Health
Amazfit PowerBuds Pro,Zepp Health
Amazon Halo App ,Amazon
Ambit2,Suunto
Ambit2 R,Suunto
Ambit2 S,Suunto
Ambit3 Run,Suunto
Ambit3 Sport,Suunto
Ambulatory Monitoring Actigraphy (Model Unspecified),Ambulatory Monitoring
Ambulo 2400,"Welch Allyn,Mortara Instruments"
AmDTx,Mobio Interactive
Amiigo,"Biostrap,Amiigo"
Amrita Spandanam,Amrita Vishwa Vidyapeetham
Amsa,Motognosis
Amuelink,Sony
Amulet,Dartmouth College
Analog Devices PPG (Model Unspecified),Analog Devices
Andaman7 Private Health Record,Andaman7
Android Smartphone (Model Unspecified),Google
Android Smartwatch (Model Unspecified),Google
Angle Meter 360,WG Healthcare
Angles,Angles
ANIKA Rehabilitation Glove,Zarya Group
Animazoo,Meta Motion
ANNE One,Sibel Health
Anne Sleep,Sibel Health
Anumana AI,Anumana
APDM (Model Unspecified),APDM (now Clario)
Apex,Coros
Apex HR,Striiv
Apex Pod,STAT Sports
ApneaLink (Model Unspecified),ResMed
ApneaLink Air,ResMed
ApneaLink Plus,ResMed
Apple AirPods (Series Unspecified),Apple
Apple Health app,Apple
Apple Watch (Series Unspecified),Apple
Apple Watch SE,Apple
Apple Watch Series 1,Apple
Apple Watch Series 2,Apple
Apple Watch Series 3,Apple
Apple Watch Series 4,Apple
Apple Watch Series 5 ,Apple
Apple Watch Series 6,Apple
Apple Watch Series 7,Apple
Apple Watch Series 8,Apple
Apple Watch Series 10,Apple
Apple Watch Ultra,Apple
Approach S20,Garmin
Approach S60,Garmin
Approach X40,Garmin
Aquos Sense 2,Sharp Electronics
Arc AI,Audibel
Arc Intellicare,ARC Intellicare
ArcGIS Tracker,Esri
ARES (Apnea Risk Evaluation System),SleepMed
Ares 620,ReactDx
Argus,Azumio Inc.
Aria,Fitbit
Aria 2,Fitbit
Aria Air,Fitbit
AriaTele,Spacelabs Healthcare
Armband HRM,Biostrap
ArmonAir Digihaler,Teva Pharmaceuticals
Artec Eva,Artec 3D
Artella 1-Lead Reusable Patch,ARTELLA Solutions
Arteriograph 24,TensioMed
ARTSENS Plus,Healthcare Technology Innovation Centre
ARYS,Tyromotion
AS80,Beurer
AS97,Beurer
Asensei.AI,Asensei
asma-1-bt,Vitalograph
Aspire,BooGuu
Asthma Health App (AHA),Mount Sinai
Astra,Orbbec
Astroskin App,Hexoskin
Asus Smartwatch (Model Unspecified),ASUS
ATBM Master,FotoFinder
Athos Core,Athos
Atlas ,AppAndAbout
Atmotube Pro,ATMO
Atom5,Aparito
Atopic App,Avanta
ATOPS App,State University of New York at Buffalo
ATP100,ATSens
ATR 3350iS,Audio-Technica
Atris,Peercode BV
Audacity,Audacity
AudEERING (Model Unspecified),audEERING GmbH
AURA Open Source Processing Algorithms,AURA Healthcare
Aura Sleep Tracker,Withings
Aura Strap 2,Aura Devices
Aural Analytics,Aural Analytics
Aurora IQ,Optomed
Autism And Beyond App,Duke Institute for Health Innovation
AutoDerm Skin Image Search,iDoc24
Autographer Wearable Camera,Oxford Metrics
Ava COVID-RED App,Ava Women
Ava Fertility Tracker,Ava Women
Avalon Beltless Fetal Monitoring Solution,Philips
Avent Smart Baby Monitor,Philips
Aviva Connect ,"Accu-Chek,Roche"
Aviva Expert,"Accu-Chek,Roche"
Aviva Meter,"Accu-Chek,Roche"
Aviva Nano,"Accu-Chek,Roche"
AW-001,Yamasa
AW4,CamNtech
AW7,CamNtech
Awair Omni,Awair
Aware,Blueair
AWEAR,Grey Innovation
AX3,Axivity
AX6,Axivity
Axivity (Model Unspecified),Axivity
AXN500,Polar
AXN700,Polar
Azumio Instant Diabetes Test,Azumio Inc.
Azure Kinect DK,Microsoft
B-Alert,Advanced Brain Monitoring
B-Scans of Interest,Zeiss
B.Band,B Life
B1 Band,"Intel,Basis Science (now Intel)"
Baby Monitor 2,Sense-U
Baby Monitor 3,Sense-U
Baby Sleep Monitor,Wellue
BabyBrite,Artinis
BabyO2,Wellue
BabyScripts app,Babyscripts
Bac Sy Minh App,University of Sydney
Bagnoli,Delsys
Bahr Monitor,Simplex Scientific
Baiobit,BTS Bioengineering
Balance Scale,Polar
Balance System,Biodex Medical Systems
BalanSens,BioSensics
Band,Microsoft
Band 2,Microsoft
Band 3 Pro ,Huawei Technologies
Band 6,Huawei Technologies
Band 7,Huawei Technologies
Bardavon Recovery ,PeerWell
Basic Motionlogger,Ambulatory Monitoring
Basis Peak,Intel
BC 420MA,Tanita
BC-308,Tanita
BC-418,Tanita
BC-454N,Tanita
Beacon EEG Analytics Platform,Beacon Biosignals
BeatO SMART,BeatO
Beats Medical Parkinson's App,Beats Medical
Beautyrest Sleeptracker Monitor,Beautyrest
Beddit 3 Sleep Monitor,Apple
Beddit Sleep Monitor,Apple
BedScales,BedScales
Beflex Coach,Beflex
BeHapp,University of Groningen
Behavidence,Behavidence
Beiwe,Harvard T.H. Chan School of Public Health
Bellus 3D FaceApp,Bellus 3D
BellyBand,Drexel University
Belun Ring,Belun
Benchmark Ear,Valencell
Benchmark Wearable,Valencell
Benevision TM80,Mindray
Berry Pulse Oximeter (Model Unspecified),Shanghai Berry Electronic Technology
BESI-C,University of Virginia
Bespoke sensor armband (IMEC),Holst Centre
Beyond Pulse,Beyond Pulse
Beyond Verbal,Vocalis Health
Beyond Your Motion,BYM Life
BF-350 Total Body Composition Analyzer,Tanita
BF600,Beurer
BGStar,Sanofi
BIA 450,Biodynamics
BIA101 Anniversary,AKERN Bioresearch
BiliScan,Shenzhen Beishen Healthcare Technology
Binah.ai,Binah.ai
Bio Patch MC100,Seers Tech
Bio_Sole,autonomous_ID
Biobeat Chest Monitor,BioBeat Technology
Biobeat Platform-2,BioBeat Technology
Biobeat Wrist Monitor,BioBeat Technology
BioButton,BioIntelliSense
BioCoach Glucose and Ketone Meter,BioCoach
BioDigit Clinic,BioSensics
BioDigit Home,BioSensics
BioDigit Mobile,BioSensics
Biofeedback Xpert,Schuhfried
Bioflux,Biotricity
BioForce HRV,BioForce HRV
BioHarness,"Medtronic,Zephyr (now Medtronic)"
BioHarness 3,"Medtronic,Zephyr (now Medtronic)"
Bioheart,Biotricity
BioKin,Deakin University
Biolinq,Biolinq
BiomechEngine,Beflex
Biometrics Accelerometer (Series Unspecified),Biometrics
Biometrics EMG (Series Unspecified),Biometrics
Biometrics Goniometer (Model Unspecified),Biometrics
Biomkr,Eker Design
Bionic Pro,Motesque
BioNomadix (PPGED),BioPac Systems Inc.
BioPac 3-Lead Electrocardiogram (ECG) (Model Unspecified),BioPac Systems Inc.
BioPac Electrocardiogram (ECG) (Model Unspecified),BioPac Systems Inc.
Biopac Goniometer (Model Unspecified),BioPac Systems Inc.
BioPac Photoplethysmogram (PPG) (Model Unspecified),BioPac Systems Inc.
BioPatch,"Medtronic,Zephyr (now Medtronic)"
Bioptx Biosensing Band,Rockley Photonics
BioRadio,Great Lakes NeuroTechnologies
BioScan 920-II,Maltron
Biosense Breath Ketone monitor,Readout Health
BioSensics (Model Unspecified),BioSensics
Biosensor,Nutromics
Biosensor BX100,Philips
BiosignalPlux Explorer,Plux Wireless Biosignals S.A
BiosignalPlux System (Model Unspecified),Plux Wireless Biosignals S.A
BioSleeve,Cipher Skin
Biostamp,"Medidata,MC10 (now Medidata)"
BioStamp nPoint,"Medidata,MC10 (now Medidata)"
BioStampRC,"Medidata,MC10 (now Medidata)"
BioSticker,BioIntelliSense
Biostrap,Biostrap
Biotres,Biotricity
BioVal,Fisaude
Biovitals Sentinel App,Biofourmis
Biovitals™ Analytics Engine,Biofourmis
Bisu,Bisu
BITalino ECG,Bitalino
Bitbrain Ring,Bitbrain
Bitskin,Bitmics Lab
Bittium Faros (Model Unspecified),Bittium
Bittium Faros 180,Bittium
Bittium Faros 360,Bittium
Blackfly USB3,FLIR Systems
Blaze,Fitbit
BlazePose,Google
BlinQ System,Optalert
Blood Glucose Monitor,GlucoMe
Blood Glucose Monitor,100Plus
Blood Glucose Monitor,BioTelemetry
Blood Pressure Cuff,100Plus
Blood Pressure Cuff,Athelas
Blood Pressure Dock (BP3),iHealth
Blood Pressure Monitor,Indie Health
Blood Pressure Monitor (BP-801),Withings
Blood Pressure Monitor (BP800),Withings
Blood Pressure Monitor with Oximeter,Wellue
Bloom Diagnostics,Bloom Diagnostics
Bloomer Bra,Bloomer Tech
Bloomlife,Bloomlife
Blue Thunder,IMeasureU (now Vicon)
Blue Trident IMU Sensor,"IMeasureU (now Vicon),Vicon"
Blueberry Eyeglasses,BlueberryRX
BlueBP-05,Meditech
Bluedrop Medical Delta,Bluedrop Medical
Bluetooth Blood Glucose Meter (DGM-BG-I),Doctorgram
Bluetooth Blood Pressure Monitor (DGM-BP-II),Doctorgram
Bluetooth Blood Pressure Monitor BPW1,Shenzhen Kingyield Technology Co
Bluetooth Body Weight Scale (DGM-WS-I),Doctorgram
Bluetooth BP monitor (PHBPB20),Pyle Audio
Bluetooth Digital Weight and Personal Health Scale (PHLSCBT4BK),Pyle Audio
Bluetooth Fingertip Pulse Oximeter,Wellue
Bluetooth Infrared Thermometer (PHTM10BTBL),Pyle Audio
Bluetooth Infrared Thermometer (PHTM20BTBL),Pyle Audio
Bluetooth Pulse Oximeter – Fingertip (DGM-PO-I),Doctorgram
Bluetooth Spirometer (DGM-SP-I),Doctorgram
Bluetooth Thermometer (DGM-TM-I),Doctorgram
Blumio,"CardieX,Blumio"
BM 85,Beurer
BM-220,Tanita
BM1000 Pulse Oximeter,Shanghai Berry Electronic Technology
BM2000D,Shanghai Berry Electronic Technology
BMI-160 IMU,Bosch Sensortec
BodiGuide,BodiGuide Inc.
Body,Withings
Body Cardio,Withings
Body Comp,Withings
Body Composition Monitor,Fresenius Medical Care
Body Composition Monitor and Scale (BCM-500),Omron Healthcare
Body Partner,Téfal
Body Scan,Withings
Body Smart,Withings
Body+,Withings
Bodybugg,Apex Fitness
Bodyguard 2,Firstbeat Sports
BodyGuardian (Model Unspecified),"Boston Scientific,Preventice (now Boston Scientific)"
BodyGuardian Heart,"Boston Scientific,Preventice (now Boston Scientific)"
BodyGuardian Mini,"Boston Scientific,Preventice (now Boston Scientific)"
BodyGuardian One,"Boston Scientific,Preventice (now Boston Scientific)"
BodyGuardian Verite,"Boston Scientific,Preventice (now Boston Scientific)"
BodyMedia Coremodera,"Jawbone,BodyMedia (now Jawbone)"
Bodyport Cardiac Scale,Bodyport
BodyScan,Body Composition Technologies
BodyTrace Scale,BodyTrace
Bodytrak In-ear Vital Sign Sensor,Inova Design Solutions
Bonatra Smart Ring X1,Bonatra
Boomerang ECG,Comfit Health
Boost Plus,GoXLabs
BoostFix,Compal Electronics
BoostFix App,Compal Electronics
Boppli,PyrAmes Inc
Bora Band,Biosency
Bosch Sensortec IMU (Model Unspecified),Bosch Sensortec
Bosch SoundSee,Bosch
Bosimi Band Wearable Sensor,PyrAmes Inc
Bosimi@Home,PyrAmes Inc
BP 170,InBody
BP A1 Easy,Microlife
BP A150 AFIB,Microlife
BP Doctor Med,YHE Technology
BP Doctor Pro,YHE Technology
BP-100,Casio
BP2,Marsden
BPLab Standard,BPLab
BPM Connect,Withings
BPM Core,Withings
BPMpathway,270 Vision
BPro G2,HealthSTATS International
BR-102,Schiller
brain.space,brain.space
brain4care System,brain4care
BrainBaseline App,Clinical Ink
BrainCapture ,BrainCapture
BrainCheck,BrainCheck
BrainLink Lite,Macrotellect
BrainMirror,Myelin-H
BrainProducts Accelerometer (Model Unspecified),Brain Products
Brainwalker 3,Medatec
BraveHeart Wireless,BraveHeart Wireless
Bravo Twist,Gyenno Technologies
Breath Analysis Platform,Silvertip Medical
BreatheMate,Adherium
BreatheSuite MDI,BreatheSuite
Breelib Nebulizer,Bayer
Breeze 2,"Ascensia Diabetes Care,Panasonic Healthcare Corporation"
Breezing,Breezing
BresoDx,BresoTEC
BresoTEC Patch (Model Unspecified),BresoTEC
Brighten,Brighten Health
Brite Frontal,Artinis
Brite MKII,Artinis
Bronze Blood Pressure Monitor (BP5100),Omron Healthcare
Bruxoff,Bruxoff
BT-106,CareSimple
BT-Q1000XT,QStarz
BT4,HUR Labs
BT1000X,QStarz
BTrackS Assess Balance System,Balance Tracking Systems
BTT Health,BTT Corp
Butterfly iQ+,Butterfly Network Inc.
BW 300 Connect,Medisana
BWT901CL,Wit-Motion
BY 90 Baby Scale,Beurer
c-med° alpha,Cosinuss
C-mo,C-mo Medical Solutions
C-STRETCH,Bando Chemical Industries
C. Light,C. Light Technologies
C3 Field Analyzer (C3FA),"Alfaleus Technology,Remidio"
C3 HD3,Clarius
C3+ Holter Monitor,Cortrium
CA2122,SUNVOU
Caducy,i-Virtual
Cair,NuWave Sensor Technology
Cala Health TAPS,Cala Health
Cala Health Trio,Cala Health
CALERAresearch,GreenTEG
CalproSmart Home,Svar Life Science
Caltrac,Muscle Dynamic Fitness Network
CameraHRV,HRV4Training
Canary Care home monitoring system,Canary Care
Canary Speech,Canary Speech
CANedge3 GNSS Docs,CSS Electronics
CANTAB Connect,Cambridge Cognition
CanvasDx,Cognoa
CapMedic,Cognita Labs
Capnostream 35 Portable Respiratory Monitor ,Medtronic
CaptoGlove,CaptoGlove
CaptureProof,CaptureProof
Cardea 20/20 ECG,Cardiac Insights
Cardea Solo,Cardiac Insights
Cardia Osmetric,Grey Innovation
Cardiac Performance System,Sensydia
CardiacSense Watch ,CardiacSense
Cardio Clin,HeartForce
Cardio Scan II,DMS Surveillance
Cardio System,Smartex
Cardio-Respiratory Monitor,Respiree
CardioChek Plus,PTS Diagnostics
CardioDial,SXT S.r.l. - Sistemi per Telemedicina
Cardiograph,Macropinch
CardioID,General Prognostics (GPx)
Cardiologs ECG Analysis Platform,Philips
CardioMem CM 3000,GETEMED
CardiomoPatch,Cardiomo
CardioNow,Comarch
CardioQVARK,CardioQVARK
CardioSecur,Personal MedSystems GmbH
CardioSignal App,Precordior
Cardioskin,BioSerenity
Cardiosport TP3,Cardiosport
CardioSTAT,Icentia Inc.
Cardiostory,Cardiostory
CardioTag Sensor,Cardiosense
CardioWatch (Model Unspecified),Corsano
Care4Ear,MIJ Co.
Care4Wounds Sensor and Application,Tetsuyo Healthcare
CareApp,CareApp
CareKit,Apple
CareMate,CareMate
CAREPORTAL,Docobo
CareSens N ,i-sens
CareSens N NFC,i-sens
CareSense N Premier BLE,i-sens
CareSimple Platform,CareSimple
Caretaker 4 VitalStream,Caretaker Medical
CareTaker4 Physiological Monitor,Caretaker Medical
Caretech Human,Caretech Human
CareTouch Blood Glucose Monitoring System,Care Touch
Carnation Ambulatory Monitoring (CAM),Bardy Diagnostics
CART,Sky Labs
Cascade Continuous Glucose Monitor,Waveform Technologies
Casimir,Casimir
CATSYS 2000,Danish Product Development
Çava Seat,Çava Health
CB-1306,VasoMedical
CB-1805-B,VasoMedical
CB-2301-A,VasoMedical
Celestra MS App,Celestra Health Systems
Celestra Smart Insoles,Celestra Health Systems
Cellular Blood Pressure Monitor,Carematix
CentrePoint Insight Watch,ActiGraph
CentrePoint Platform,ActiGraph
Cephalgo,Cephalgo
Cerebra Sleep System (PRODIGY),"Cerebra Medical,Younes Medical Technologies (now Cerebra Medical)"
Cerepak,WestRock
CereVu,CereVu Medical
Ceribell Rapid Response EEG,Ceribell
Cerora Borealis EEG,Cerora Borealis
Charge,Fitbit
Charge (Series Unspecified),Fitbit
Charge 2,Fitbit
Charge 3,Fitbit
Charge 4,Fitbit
Charge 5,Fitbit
Charge HR,Fitbit
Charm,Samsung
ChatterBaby,"""University of California, Los Angeles"""
CHDR MORE App,The Hyve
Checkme (Series Unspecified),Viatom
Checkme Lite,Viatom
Checkme O2,Viatom
Checkme Pro,Viatom
Checkme Vital Signs Monitor,Wellue
Chest Strap,ActoFit
Chest Strap HRM ,Biostrap
Chest-Based Vital Signs Platform,Analog Devices
Chill+,IMEC
Chirp Sensor,Cirq Technologies
ChoiceMMed Pulse Oximeter (Model Unspecified),ChoiceMMed
Cicer,Ten3T
Cigna StressWaves Test,Cigna
Cionic Research Kit,Cionic
CipherOx CRI M1,Impact Vitals
Circadia Contactless Monitoring Device (C100),Circadia Health
CIRCUL,Bodi Metrics
Circular Ring,Circular
CIRO Activity Monitor,Maastricht Instruments
CL800,Chileaf Electronics 
Clairity,Clarigent Health
Clairways,Clairways
Clario Inertial Measurement Unit (Series Unspecified),"Clario,APDM (now Clario)"
Clarity,Ceribell
Classic,Fitbit
Clear,Clear.bio
Clear Wireless Blood Pressure Monitor (BPM1),iHealth
Clearblue Connected,SPD Swiss Precision Diagnostics GmbH
ClearSky Catapult,Catapult
Clebre,Clebre
CleverCap Lite,Compliance Meds Technologies
CleverCap Pro,Compliance Meds Technologies
CleverCell,Compliance Meds Technologies
CliniCloud Stethoscope,Design + Industry
cloudUPDRS,"""Birkbeck, University of London"""
CM-2600d Spectrophotometer,Konica Minolta
CMM Sensor ,Indigo
CMS50E Pulse Oximeter,Contec Medical Systems Co.
CMS50EW pulse oximeter,Contec Medical Systems Co.
Coach Heart Rate Monitor,Polar
CoaguChek XS,Roche
CoaguChek XS Plus,Roche
CoaguChek XS Pro,Roche
COALA Heart Monitor,Coala Life
CoG Hybrid Glucometer,Cnoga Medical
Cogniant,Cogniant
CognICA,Cognetivity Neurosciences
CogniFit,CogniFit
Cognigram ,"Cogstate ,Eisai"
Cognionics EEG Headset (Model Unspecified),Cognionics 
Cognision,Cognision
Cognition Kit,Cambridge Cognition
Cognitive Healthcare International Sphygmomanometer (Model Unspecified),Cognitive Healthcare International
Cognivue Plus,Cognivue
Cognivue Thrive,Cognivue
Cogstate Computerized Cognitive Assessment,Cogstate 
Cogwear,Cogwear
CombScan,CombScan
Comet-PLUS,Natus Medical
Cometa Systems EMG (Model Unspecified),Cometa Systems
Cometa Systems IMU (Model Unspecified),Cometa Systems
Command,"Fossil,Misfit (now Fossil)"
Commander Echo Dual Inclinometer,JTECH Medical
Compact Plus Meter,"Accu-Chek,Roche"
Complete Upper Arm Blood Pressure Monitor + EKG (BP7900),Omron Healthcare
COMPlog,Complog Vision Measurement Systems
Compumedics Accelerometer (Model Unspecified),Compumedics
Compumedics Ambulatory EEG (Model Unspecified),Compumedics
Compumedics Polysomnography (Model Unspecified),Compumedics
ConcertAI,ConcertAI
Confirm Glucose Meter,ReliOn
Connected Health Kit,Cloud DX
CONNEQT Pulse,CardieX
Connex ProBP 3400,Welch Allyn
Constant Care App,Svar Life Science
Contec Holter Monitor (Model Unspecified),Contec Medical Systems Co.
Continuous Ambulatory Vestibular Assessment (CAVA),University of East Anglia
Continuous Health Monitoring 2,Current Health
Contour,"Ascensia Diabetes Care,Panasonic Healthcare Corporation"
Contour Next,"Ascensia Diabetes Care,Panasonic Healthcare Corporation"
Contour Next EZ,"Ascensia Diabetes Care,Panasonic Healthcare Corporation"
