_name,_idx,DHT_searched_text
no matches,0,"Hypertension Coaching Application and Home Monitor;
 Control: Tracking Application and Home Monitor"
no matches,0,Standard Care
no matches,0,"Natural Environment/Stress Management;
 Natural Environment/Reduce Food Waste"
no matches,0,"Mean blood glucose;
 Blood glucose CV;
 % time 70-180 mg/dL;
 % time below 54 mg/dL;
 % time above 180 mg/dL;
 % time above 250 mg/dL;
 MAGE (Mean amplitude of glucose excursions);
 LBGI (Low Blood Glucose Index);
 HBGI (High Blood Glucose Index);
 Allopurinol;
 Placebo"
no matches,0,"Reality Check;
 Physical Activity Attention Control"
no matches,0,"Traditionally Threshed Teff (TTT);
 Lab Threshed Teff (LTT);
 Fortified Lab Threshed Teff (FTT)"
no matches,0,"Aerobic exercise and balance retraining;
 Standard of care"
no matches,0,"Health Partner;
 Standard Care"
no matches,0,"Capecitabine;
 Atezolizumab;
 Ipatasertib;
 SGN-LIV1A;
 Bevacizumab;
 Chemotherapy (Gemcitabine + Carboplatin or Eribulin);
 Selicrelumab;
 Tocilizumab;
 Nab-Paclitaxel;
 Sacituzumab Govitecan;
 Abemaciclib;
 Fulvestrant;
 Ribociclib (dose #1);
 Inavolisib (dose #2);
 Trastuzumab Deruxtecan;
 Ribociclib (dose #2);
 Letrozole;
 Inavolisib (dose #1);
 Inavolisib"
no matches,0,"Neurorehabilitation;
 Physiotherapy"
no matches,0,"Oxycodone;
 Ketorolac;
 Placebo"
no matches,0,MyT1DHero
no matches,0,Sleep Extension
no matches,0,"YogaFit;
 Quiet Rest"
no matches,0,MRI brain
no matches,0,"Use of GEL BALL FITTED MODULAR CUSHION;
 Use of SQUISHINS FITTED MODULAR CUSHION"
no matches,0,"Medication free treatment;
 Treatment as usual Myrvegen;
 Treatment as usual Åråsen"
no matches,0,"Song of Kin;
 Gato box;
 Ocean disc;
 Contingent singing;
 Tonal Vocal holding;
 Muted shaker"
['mhealth'],1,"mHealth Stepped-care Intervention;
 Educational Control Condition;
 Questionnaire;
 Interview;
 Qualitative Interviews;
 Virtual Reality"
no matches,0,"Varenicline;
 Placebo"
no matches,0,"Temporary spinal cord stimulation;
 Coronary artery bypass grafting;
 B-blockers"
no matches,0,"Regorafenib;
 Atezolizumab;
 Imprime PGG;
 Bevacizumab;
 Isatuximab;
 Selicrelumab;
 Idasanutlin;
 AB928;
 LOAd703"
no matches,0,"sleep;
 exercise"
no matches,0,"Good ventilation;
 Ventilation CO2;
 Poor Ventilation"
no matches,0,TRF
"['fitbit', 'smart watch']",1,Fitbit® Charge HR smart watch
no matches,0,"probiotic milk fermented with kefir grains;
 curd"
['whoop'],1,"WHOOP Strap 2.0;
 No Device"
no matches,0,Network-based home blood pressure monitor
no matches,0,"Yoga-based physical therapy group;
 Seated Rest;
 Conventional Physical Therapy"
no matches,0,"REM Volver a casa;
 Mindfulness-Based Stress Reduction program"
['kinect'],1,Assessment of Range of Motion with Kinect Controller
no matches,0,ECG
no matches,0,"Telerehabilitation;
 No intervention;
 Unsupervised rehabilitation"
no matches,0,Speech therapy apps
no matches,0,Multiple Daily Injections: Slow acting insulin and Rapid acting insulin
no matches,0,"Exercise Intervention;
 Newsletter"
no matches,0,"Mobile community;
 No Mobile community"
no matches,0,"Automatic system guided treatment;
 Standard treatment"
"['neuronaute', 'cardioskin']",1,"test of sensors for somnonaute device;
 test of sensors for uronaute device;
 test of sensors for toconaute device;
 test of sensors for neuronaute device;
 test of sensors for cardioskin device"
no matches,0,"Internet-Based Intervention;
 Quality-of-Life Assessment;
 Questionnaire Administration"
no matches,0,"choice of dialyzer;
 choice of dialysis mode;
 choice of anticoagulation strategy;
 preparation of dialyzer"
no matches,0,"Social Incentives and Gamification to Promote Exercise;
 Corticosteroid Injection given in A-B order;
 No Social Incentive applied;
 Corticosteroid Injection given in B-A order"
no matches,0,"Coaching and Weight Loss for patients with dyspnea;
 Active Control"
no matches,0,"SAPIEN 3;
 SAPIEN XT;
 INSPIRIS RESILIA;
 EDWARDS INTUITY;
 Carpentier-Edwards PERIMOUNT Magna-Ease"
no matches,0,"Retinal Imaging;
 Pupillometry;
 Contrast Sensitivity;
 Neuropsychological Evaluation;
 APOE genotyping;
 blood draw;
 Gait Assessment;
 Actigraphy"
no matches,0,"Aerobic Exercise;
 Placebo/Stretching"
no matches,0,"Physical activity intervention;
 Pulmonary rehabilitation group"
no matches,0,Virtual-reality based dance training
no matches,0,Contingency management
no matches,0,Getting Off App
['nox a1'],1,"Continuous positive airway pressure (CPAP) therapy;
 Nox A1 Recorder"
['earlysense'],1,"EarlySense Insight system;
 Advanced Neonatal Epidermal System"
no matches,0,Pulmonary Rehabilitation
no matches,0,Virtual Reality
['ipad'],1,"ReMind iPad app;
 Healthy SMS texting;
 In-person cognitive rehabilitation;
 Telehealth cognitive rehabilitation"
no matches,0,"Videogame-based physical activity;
 sedentary videogame;
 Bupropion;
 Counseling"
no matches,0,"Estradiol patch;
 Placebo patch"
no matches,0,"Intelligent cueing;
 Feedback about the number of steps"
['corband'],1,"CorBand;
 Activity Monitor;
 Bioimpedance spectrometer;
 ECG;
 respiratory rate sensor"
no matches,0,"PIRF measured by InCheck DIAL;
 Regular treament"
no matches,0,"Usual care;
 Robot-assisted puncture procedure"
no matches,0,"The swaddling group;
 The expressed breast milk group;
 The facilitated tucking group;
 The swaddling and expressed breast milk group;
 The facilitated tucking and expressed breast milk group"
no matches,0,Super Abbu
no matches,0,"Blueberry Plus Exercise (BB-EX);
 Blueberry Placebo Plus Exercise (P-EX)"
no matches,0,"Glucagon;
 Closed-loop system"
no matches,0,"Standardized breakfast;
 Standardized snack;
 Standardized lunch"
no matches,0,"Best Practice;
 Laparoscopic Surgery;
 Quality-of-Life Assessment;
 Questionnaire Administration;
 Respiratory Muscle Training Device;
 Video-Assisted Thoracic Surgery"
no matches,0,"carbidopa/levodopa and celecoxib;
 placebo1 and celecoxib;
 placebo1 and placebo2"
no matches,0,"Alcohoot;
 BACtrack Mobile Pro;
 DRIVESAFE Evoc;
 BACtrack Vio;
 Drinkmate;
 Floome;
 Intoxilyzer 240"
no matches,0,BD Diabetes Care Application (for mobile devices) PLUS use of BD Nano Pen Needle
['tracker'],1,My Plate Calorie Tracker
no matches,0,Health education
no matches,0,"Traditional Chinese medicine regimen-based lifestyle mobile health APP;
 Lifestyle mobile health APP"
no matches,0,"Augmented Reality 1;
 Augmented Reality 2;
 Augmented Reality 3;
 Augmented Reality 4"
no matches,0,"Amlodipine/Atorvastatin 5 Mg-20 Mg ORAL TABLET;
 Amlodipine/Atorvastatin 5 Mg-10 Mg ORAL TABLET;
 Allisartan Isoproxil"
no matches,0,"Behavioral Dietary Intervention;
 E-mail;
 Exercise Intervention;
 Health Promotion and Education;
 Internet-Based Intervention;
 Questionnaire Administration;
 Telephone-Based Intervention"
['coaguchek'],1,INR monitoring using a CoaguChek POC device
no matches,0,"Panda;
 Visual Analogue Scale - Original"
no matches,0,"breathing exercise/HRV-biofeedback;
 Relaxing Breathing;
 Control"
no matches,0,Exercise
no matches,0,"Radiation and warm environment;
 Warm environment;
 Neutral environment with radiation;
 Neutral environment without radiation"
no matches,0,"Laughie laughter prescription;
 Sleep tracking equipment"
no matches,0,"Provider-level intervention;
 Patient-level intervention"
no matches,0,Transform
['fitbit'],1,"FitBit;
 Pedometer;
 Quality-of-Life Assessment;
 Questionnaire Administration"
no matches,0,"Exercise;
 No exercise"
no matches,0,"Oxytocin;
 Placebo"
['monsenso'],1,"The Monsenso system with feedback;
 The Monsenso system without feedback;
 CAG Bipola and mood monitoring only"
no matches,0,"Numberless BDS;
 Digital Scale;
 Modified Motivational Interviewing"
"['onetouch', 'accu-chek', 'bgstar', 'relion']",1,"Droplet lancing device (HTL-Strefa S.A.);
 Microlet 2 lancing device (Bayer);
 OneTouch Delicia lancing device (LifeScan);
 ReliOn lancing device (ReliOn);
 Accu-Chek Softclix lancing device (Roche);
 BGStar lancing device (Sanofi Aventis);
 Ultra-Fine 33G lancets (BD);
 Droplet 33G lancets (HTL-Strefa S.A.);
 OneTouch Delicia Extra Fine 33G lancets (LifeScan);
 HaemoFine 33G lancets (HTL-Strefa S.A.);
 Softclix 28 G lancets (Roche);
 ReliOn Ultra-Thin Plus 33G lancets (ReliOn);
 GlucoJect Dual S lancing device (Menarini);
 Microlet 28G lancets (Bayer);
 BGStar Ultra-Thin 33G lancets (Sanofi Aventis)"
['gpskin'],1,"ivermectin;
 digital interaction;
 GPSkin"
no matches,0,"Sana Pain Reliever;
 Sham SPR"
no matches,0,"Elastic-explosive and resistance strength;
 Elastic-explosive strength"
no matches,0,"Balance, Resistance, Aerobic, Cognition Exercises (BRACE);
 Balance Resistance Exercise (BRE)"
no matches,0,"CAD-1883;
 Placebos"
no matches,0,interrupting sedentary behaviour with light physical activity
no matches,0,"Exercise telemonitoring connects to healthcare platform;
 Exercise self-monitoring;
 Exercise teleconsultation;
 Other CR components;
 Standard care"
no matches,0,"General information;
 Baseline brief intervention;
 Remote online booster sessions;
 SMS"
no matches,0,"Family Focused Therapy for Clinical High Risk Youth (FFT-CHR);
 Enhanced Care (EC)"
['silvercloud'],1,"Enhanced Feedback + Standard Feedback;
 Headspace app + Standard Feedback;
 Headspace app + Enhanced Feedback + Standard Feedback;
 SilverCloud + Standard Feedback;
 SilverCloud app +Enhanced Feedback +Standard Feedback"
no matches,0,"Aerobic exercise;
 Device guided breathing"
no matches,0,"Digital exercise group;
 General Home Hand Therapy"
no matches,0,"Routine training;
 Routine training + proprioceptive exercise in warm-up;
 Routine training + proprioceptive exercise in cool-down"
"['actigraph', 'wgt3x-bt']",1,"""Class 1 Medical Device"" CE certified devices: ActiGraph wGT3X-BT accelerometer"
no matches,0,"Bioimpedance Spectroscopy;
 Arterial Stiffness;
 Echocardiography;
 Lung ultrasonography"
no matches,0,"Device-based feedback, self-monitoring, and education: CORE;
 Sedentary Screen Time lockout: LOCKOUT;
 Context-based prompts: TEXT;
 Earn sedentary screen time through moderate-vigorous physical activity: EARN"
no matches,0,"FACT Module Engagement;
 FACT Module Openness;
 FACT Module Awareness"
no matches,0,"Group 1: Standard of Care;
 Group 2: NICU2HOME+ app"
no matches,0,"Flavored filtered cigars;
 Unflavored filtered cigars"
['fitness tracker'],1,"Fitness tracker based activity training for Arm A and B. Booklet ""physical training, exercise and cancer"" and an introduction about physical activity during cancer therapy for Arm A, B, C"
no matches,0,"Passive industrial exoskeleton for back support;
 The protocol will be performed without exoskeleton"
no matches,0,"Atezolizumab;
 Bevacizumab 15 mg/kg;
 Tiragolumab;
 Tocilizumab;
 TPST-1120;
 Tobemstomig 2100 mg;
 Bevacizumab 10 mg/kg;
 Tobemstomig 600 mg;
 Tobemstomig 1200 mg;
 ADG126;
 IO-108 1800 mg;
 NKT2152;
 IO-108 1200 mg"
no matches,0,"Health Promotion and Education;
 Smoking Cessation Intervention (Actify app);
 Smoking Cessation Intervention (Current Standard Care app);
 Survey Administration"
no matches,0,"Virtual reality therapy first;
 Conventional therapy first"
no matches,0,water aerobic exercise
no matches,0,"Mind;
 Move"
['sleep tracker'],1,"Observational;
 Observational Controls;
 Central Sensitization;
 Physical Activity and Sleep Tracker;
 Physical Activity and Sleep Tracker Controls;
 Organ-Based;
 Qualitative Assessment of Patients with Urinary Urgency"
no matches,0,"Physical Activity;
 Attentional Control"
no matches,0,"Social Incentive;
 Standard Incentive"
['patient status engine'],1,"Continuous vital sign monitoring - Isansys Patient Status Engine;
 Machine Learning/AI Algorithm"
no matches,0,"JOGO Digital Therapeutics EMG Biofeedback for Lower Back Pain;
 JOGO Digital Therapeutics EMG Biofeedback for Persistent Post Mastectomy Pain;
 JOGO Digital Therapeutics EMG Biofeedback for Migraine"
no matches,0,"Simple cognitive task intervention;
 Attention Placebo"
no matches,0,"Control 1;
 Control 2;
 Standard Crokao;
 Low sugar variant 1;
 Low sugar variant 2;
 Low sugar variant 3;
 Low sugar variant 4;
 Low sugar variant 5"
no matches,0,"Semantically-focused therapy tasks;
 Phonologically-focused therapy tasks"
no matches,0,"Rocking environment forward (B) followed by a translation environment;
 Translation environment followed by a rocking environment"
no matches,0,"Sleep and healthy lifestyle education;
 Other supportive care;
 Adenotonsillectomy"
no matches,0,"LOCI;
 CT-PTSD;
 EMDR"
no matches,0,"Duchenne Muscular Dystrophy group with Deflazacort;
 Duchenne Muscular Dystrophy group with Prednisone/Predisolone;
 Duchenne Muscular Dystrophy group without Corticosteroids therapy;
 Control Group Typically Developing"
no matches,0,"Fatty Acids, Unsaturated;
 Diagnostic Tests"
['lifelight'],1,"Lifelight Data Collect Sub-protocol 1;
 Lifelight Data Collect Sub-protocol 2;
 Lifelight Data Collect Sub-protocol 3;
 Lifelight Data Collect Sub-protocol 4"
no matches,0,"Enhanced Education;
 Self-Efficacy;
 Motivation;
 Self-Regulation;
 Generic Risk Alert (Active Comparator);
 Online Behavioral Obesity Treatment"
no matches,0,HomeStyles-2: Obesity Prevention Program for Families with Children in Middle Childhood
['vitrack'],1,"ViTrack;
 Oscillometric BP Device;
 Auscultatory cuff"
no matches,0,Herbal topical formulation
no matches,0,"Bright Light Therapy;
 Dim Light Therapy"
no matches,0,CUTADIAB questionnaire
['mhealth'],1,"LOOP + mHealth technology assisted exercise counselling;
 LOOP Only"
['smartphone'],1,Pandah Application smartphone only
['pro-diary'],1,"PainGuide;
 MBSR;
 PT and exercise;
 Self -administered acupressure;
 Duloxetine;
 Pro-Diary monitor"
no matches,0,"1RLD;
 1RLW;
 1RGD;
 1RGW;
 2RLD;
 2RLW;
 2RGD;
 2RGW;
 1FLD;
 1FLW;
 1FGD;
 1FGW;
 2FLD;
 2FLW;
 2FGD;
 2FGW"
no matches,0,"Duck Duck Punch;
 Aerobic exercise;
 Lower extremity stretching"
no matches,0,"Standard of Care Education;
 Interactive Video (IAV) Telemedicine"
['everion'],1,"Everion®;
 CORE®"
no matches,0,"R-Basic;
 R-Enhanced"
no matches,0,"Core;
 Standard Diet Monitoring;
 Simplified Diet Monitoring;
 Adaptive Activity Goals (Daily);
 Adaptive Activity Goals (Weekly);
 Message Decision Points (Fixed);
 Message Decision Points (Adaptive);
 Message Decision Rules (Standard);
 Message Decision Rules (Adaptive);
 Message Choice (No);
 Message Choice (Yes)"
no matches,0,"Modern microelectrical mechanical systems (MEMS) head-impact sensors;
 Virtual Reality (VR) Goggle Use with consistent timing of Conditioned Stimulus and Unconditioned Stimulus;
 Virtual Reality (VR) Goggle Use with inconsistent timing of Conditioned Stimulus and Unconditioned Stimulus"
no matches,0,Physiotherapy
no matches,0,web-application
['mhealth'],1,"mhealth-pc for alcohol and pain;
 Treatment As Usual"
['mhealth'],1,"Active Control;
 mHealth technology assisted exercise counselling"
no matches,0,"Sleep Scholar;
 Building Healthy Habits"
no matches,0,"Sueña component 1: Sleep Hygiene Promotion;
 Sueña component 2: Periodic Anxiety and Pain Screening;
 Sueña component 3: Hypnotics and Caffeine Regulation;
 Sueña component 4: Sleep Masks and Ear Plugs;
 Sueña component 5: Personalized Psychoeducation;
 Sueña component 6: Sleep Reports"
no matches,0,"Behavioral Intervention;
 Quality-of-Life Assessment;
 Questionnaire Administration"
no matches,0,"M1/OTR: Immediate outreach to subject due to unsuppressed viral load test result;
 M2/PRM: Immediate outreach to subject after a missed pharmacy refill;
 M3/EAM: Immediate outreach to subject after EAM-identified missed doses;
 S1/Text: Weekly check-in texts;
 S2/Peer: Enhanced peer group support"
"['wearable', 'smart watch']",1,Consumer-facing wearable smart watch
no matches,0,BQ 2.0
no matches,0,"Informational Intervention;
 Media Intervention;
 Questionnaire Administration;
 Smoking Cessation Intervention;
 Survey Administration;
 Telephone-Based Intervention;
 Tobacco Cessation Counseling"
no matches,0,Gamification
no matches,0,"contingency management (deposit contract);
 leaderboard and social feed;
 smoking cessation resource list"
['cova'],1,"phonocardiographic measurement: InnoVital Systems;
 phonocardiographic measurement: ThinkLabs StethOne;
 physiological measurements: BIOPAC;
 physiological measurements: Masimo Radical-7;
 physiological measurements: CoVa Monitoring System 2;
 Thoracic impedance"
no matches,0,"transcranial random noise stimulation (tRNS);
 Computer Based Visual Training;
 Sham stimulation;
 Virtual Reality Based Visual Training"
no matches,0,"Best Practice;
 Informational Intervention;
 Medical Device Usage and Evaluation;
 Quality-of-Life Assessment;
 Survey Administration"
no matches,0,patient education by mobile application
no matches,0,ApplTree reminder app
no matches,0,"Ambulatory monitoring system;
 Active alerting system"
no matches,0,"Introduction Only;
 Purpose Only;
 Connection Only;
 Connection and Purpose;
 Awareness Only;
 Awareness and Purpose;
 Awareness, Purpose, and Connection;
 Awareness and Connection"
no matches,0,"nano-PSO;
 placebo"
no matches,0,"Core Health Program;
 Daily resting HRV;
 Momentary HRV feedback;
 Behavioural initiation coaching;
 Practice with feedback coaching"
['polar'],1,"High beta glucans;
 Low beta glucans;
 Low beta glucans + low polar lipids;
 Polar lipids;
 Control"
no matches,0,Neuropathy measurement
no matches,0,"GIFTSS Training;
 Learning Collaborative;
 Provider Scripts"
no matches,0,Virtual reality and eye mask
no matches,0,"Tazemetostat;
 Tafasitamab;
 Lenalidomide;
 Acalabrutinib;
 Daratumumab (Intravenously);
 Mosunetuzumab;
 Daratumumab (Subcutaneously);
 Hyaluronidase-Fihj;
 Pomalidomide;
 Dexamethasone 20mg"
no matches,0,"Faster Asleep Smart Speaker Program;
 Faster Asleep Website"
no matches,0,"Standard GAT;
 Fixed force GAT;
 Upright applanating prototype;
 Supine Applanating Prototype"
no matches,0,"Standard patient education;
 Chatbot patient education"
"['inspire 2', 'fitbit']",1,"Continuous glucose monitoring;
 Insulin;
 Premenstrual symptoms;
 Ovulation kits;
 Fitbit Inspire 2;
 Keenoa;
 Menstrual cycle"
['smartphone'],1,"use of a smartphone app for adverse event management;
 conventional adverse event management"
no matches,0,"Psychological health and flexibility;
 Work ability;
 Sleep and recovery;
 Healthy lifestyle;
 No coaching"
no matches,0,"EchOpen ultra-portable ultrasound device;
 Ultrasound device routinely used in the department;
 Ultrasound examination by an independent referent radiologist"
"['wearable', 'polar']",1,Polar Ignite Wearable Activity Monitor
